locus_tag	ftype	length_bp	gene	EC_number	COG	product
EJKFKEDI_02498	CDS	405	ydfO		COG5562	putative protein YdfO
EJKFKEDI_02499	CDS	732	bluR		COG0789	HTH-type transcriptional repressor BluR
EJKFKEDI_02500	CDS	1212	bluF			Blue light- and temperature-regulated antirepressor BluF
EJKFKEDI_02501	CDS	237	ycgZ			putative two-component-system connector protein YcgZ
EJKFKEDI_02502	CDS	267	ariR			putative two-component-system connector protein AriR
EJKFKEDI_02503	CDS	249	ymgC			putative protein YmgC
EJKFKEDI_02504	CDS	681	pdeG	3.1.4.52		putative cyclic di-GMP phosphodiesterase PdeG
EJKFKEDI_02505	CDS	363				hypothetical protein
EJKFKEDI_02506	CDS	372	icsA		COG3468	Outer membrane protein IcsA autotransporter
EJKFKEDI_02507	CDS	330	ymgD			putative protein YmgD
EJKFKEDI_02508	CDS	285				hypothetical protein
EJKFKEDI_02509	CDS	312				hypothetical protein
EJKFKEDI_02510	CDS	267	minE		COG0851	Cell division topological specificity factor
EJKFKEDI_02511	CDS	813	minD		COG2894	Septum site-determining protein MinD
EJKFKEDI_02512	CDS	696	minC		COG0850	Septum site-determining protein MinC
EJKFKEDI_02513	CDS	369				hypothetical protein
EJKFKEDI_02514	CDS	402	pliG			Inhibitor of g-type lysozyme
EJKFKEDI_02515	CDS	294	ycgL		COG3100	Protein YcgL
EJKFKEDI_02516	CDS	660	ycgM		COG0179	putative protein YcgM
EJKFKEDI_02517	CDS	447				hypothetical protein
EJKFKEDI_02518	CDS	261	hlyE			Hemolysin E, chromosomal
EJKFKEDI_02519	CDS	420	umuD	3.4.21.-	COG1974	Protein UmuD
EJKFKEDI_02520	CDS	1269	umuC		COG0389	Protein UmuC
EJKFKEDI_02521	CDS	531	dsbB		COG1495	Disulfide bond formation protein B
EJKFKEDI_02522	CDS	1542	nhaB		COG3067	Na(+)/H(+) antiporter NhaB
EJKFKEDI_02523	CDS	720	fadR		COG2186	Fatty acid metabolism regulator protein
EJKFKEDI_02524	CDS	1533				hypothetical protein
EJKFKEDI_02525	CDS	1299	dadA_2	1.4.99.-	COG0665	D-amino acid dehydrogenase
EJKFKEDI_02526	CDS	1071	dadX	5.1.1.1	COG0787	Alanine racemase, catabolic
EJKFKEDI_02527	CDS	1737	cvrA		COG3263	K(+)/H(+) antiporter NhaP2
EJKFKEDI_02528	CDS	915	ldcA	3.4.17.13	COG1619	Murein tetrapeptide carboxypeptidase
EJKFKEDI_02529	CDS	612	emtA	4.2.2.-	COG0741	Endo-type membrane-bound lytic murein transglycosylase A
EJKFKEDI_02530	CDS	735	ycgR		COG5581	Flagellar brake protein YcgR
EJKFKEDI_02531	CDS	255				hypothetical protein
EJKFKEDI_02532	CDS	1971	btuB_1			Vitamin B12 transporter BtuB
EJKFKEDI_02533	CDS	855	nadC_2	2.4.2.19	COG0157	Nicotinate-nucleotide pyrophosphorylase [carboxylating]
EJKFKEDI_02534	CDS	813	COQ5_2	2.1.1.163		2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial
EJKFKEDI_02535	CDS	759			COG1120	putative ABC transporter ATP-binding protein
EJKFKEDI_02536	CDS	981			COG0609	putative ABC transporter permease protein
EJKFKEDI_02537	CDS	1023				hypothetical protein
EJKFKEDI_02538	CDS	1698	treA	3.2.1.28	COG1626	Periplasmic trehalase
EJKFKEDI_02539	CDS	1419	dhaM	2.7.1.121	COG1080	PEP-dependent dihydroxyacetone kinase, phosphoryl donor subunit DhaM
EJKFKEDI_02540	CDS	633	dhaL	2.7.1.121	COG2376	PEP-dependent dihydroxyacetone kinase, ADP-binding subunit DhaL
EJKFKEDI_02541	CDS	1071	dhaK	2.7.1.121	COG2376	PEP-dependent dihydroxyacetone kinase, dihydroxyacetone-binding subunit DhaK
EJKFKEDI_02542	CDS	1920	dhaR		COG3284	PTS-dependent dihydroxyacetone kinase operon regulatory protein
EJKFKEDI_02543	CDS	240				hypothetical protein
EJKFKEDI_02544	CDS	1758				hypothetical protein
EJKFKEDI_02545	CDS	168				hypothetical protein
EJKFKEDI_02546	CDS	1128				hypothetical protein
EJKFKEDI_02547	CDS	516				hypothetical protein
EJKFKEDI_02548	CDS	1887				hypothetical protein
EJKFKEDI_02549	CDS	246				hypothetical protein
EJKFKEDI_02550	CDS	336				hypothetical protein
EJKFKEDI_02551	CDS	360				hypothetical protein
EJKFKEDI_02552	CDS	528				hypothetical protein
EJKFKEDI_02553	CDS	270				hypothetical protein
EJKFKEDI_02554	CDS	489				hypothetical protein
EJKFKEDI_02555	CDS	423				hypothetical protein
EJKFKEDI_02556	CDS	540				hypothetical protein
EJKFKEDI_02557	CDS	453				hypothetical protein
EJKFKEDI_02558	CDS	915	xerC_2			Tyrosine recombinase XerC
EJKFKEDI_02559	CDS	615				hypothetical protein
EJKFKEDI_02560	CDS	198				hypothetical protein
EJKFKEDI_02561	CDS	468				hypothetical protein
EJKFKEDI_02562	CDS	855				hypothetical protein
EJKFKEDI_02563	CDS	1077				hypothetical protein
EJKFKEDI_02564	CDS	369				hypothetical protein
EJKFKEDI_02565	CDS	600				hypothetical protein
EJKFKEDI_02566	CDS	2658				hypothetical protein
EJKFKEDI_02567	CDS	213				hypothetical protein
EJKFKEDI_02568	CDS	1197				hypothetical protein
EJKFKEDI_02569	CDS	138				hypothetical protein
EJKFKEDI_02570	CDS	198				hypothetical protein
EJKFKEDI_02571	CDS	252				IS21 family transposase ISYru1
EJKFKEDI_02572	CDS	171				hypothetical protein
EJKFKEDI_02573	CDS	492				IS3 family transposase ISEc24
EJKFKEDI_02574	CDS	285				IS3 family transposase ISEc24
EJKFKEDI_02575	CDS	1176	intA_2		COG0582	Prophage integrase IntA
EJKFKEDI_02576	CDS	1092	ychF		COG0012	Ribosome-binding ATPase YchF
EJKFKEDI_02577	CDS	585	pth	3.1.1.29	COG0193	Peptidyl-tRNA hydrolase
EJKFKEDI_02578	CDS	279				hypothetical protein
EJKFKEDI_02579	CDS	1653	dauA		COG0659	C4-dicarboxylic acid transporter DauA
EJKFKEDI_02580	CDS	1014	prs_2	2.7.6.1	COG0462	Ribose-phosphate pyrophosphokinase
EJKFKEDI_02581	CDS	852	ispE	2.7.1.148	COG1947	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase
EJKFKEDI_02582	CDS	624	lolB		COG3017	Outer-membrane lipoprotein LolB
EJKFKEDI_02583	CDS	1257	hemA	1.2.1.70	COG0373	Glutamyl-tRNA reductase
EJKFKEDI_02584	CDS	1083	prfA_2		COG0216	Peptide chain release factor RF1
EJKFKEDI_02585	CDS	834	prmC	2.1.1.297	COG2890	Release factor glutamine methyltransferase
EJKFKEDI_02586	CDS	393	ychQ		COG3094	Protein YchQ
EJKFKEDI_02587	CDS	810				hypothetical protein
EJKFKEDI_02588	CDS	855	kdsA	2.5.1.55	COG2877	2-dehydro-3-deoxyphosphooctonate aldolase
EJKFKEDI_02589	CDS	108	ldrA			Small toxic polypeptide LdrA
EJKFKEDI_02590	CDS	1101	chaA		COG0387	Sodium-potassium/proton antiporter ChaA
EJKFKEDI_02591	CDS	240	chaB		COG4572	Putative cation transport regulator ChaB
EJKFKEDI_02592	CDS	717	chaC	4.3.2.7	COG3703	Glutathione-specific gamma-glutamylcyclotransferase
EJKFKEDI_02593	CDS	354	ychN		COG1553	Protein YchN
EJKFKEDI_02594	CDS	1395				Invasin
EJKFKEDI_02595	CDS	651	narL_2		COG2197	Nitrate/nitrite response regulator protein NarL
EJKFKEDI_02596	CDS	1797	narX	2.7.13.3		Nitrate/nitrite sensor protein NarX
EJKFKEDI_02597	CDS	219				hypothetical protein
EJKFKEDI_02598	CDS	1392	narK		COG2223	Nitrate/nitrite transporter NarK
EJKFKEDI_02599	CDS	3744	narG	1.7.5.1	COG5013	Respiratory nitrate reductase 1 alpha chain
EJKFKEDI_02600	CDS	1539	narH	1.7.5.1	COG1140	Respiratory nitrate reductase 1 beta chain
EJKFKEDI_02601	CDS	711	narJ		COG2180	Nitrate reductase molybdenum cofactor assembly chaperone NarJ
EJKFKEDI_02602	CDS	678	narI	1.7.5.1	COG2181	Respiratory nitrate reductase 1 gamma chain
EJKFKEDI_02603	CDS	1008	fabH_2	2.3.1.180	COG0332	3-oxoacyl-[acyl-carrier-protein] synthase 3
EJKFKEDI_02604	CDS	1017	oleD_1	1.1.1.412	COG0451	2-alkyl-3-oxoalkanoate reductase
EJKFKEDI_02605	CDS	807				hypothetical protein
EJKFKEDI_02606	CDS	1287				hypothetical protein
EJKFKEDI_02607	CDS	603				hypothetical protein
EJKFKEDI_02608	CDS	1125				hypothetical protein
EJKFKEDI_02609	CDS	1092				hypothetical protein
EJKFKEDI_02610	tRNA	85				tRNA-Tyr(gta)
EJKFKEDI_02611	CDS	843	purU	3.5.1.10	COG0788	Formyltetrahydrofolate deformylase
EJKFKEDI_02612	CDS	459				hypothetical protein
EJKFKEDI_02613	CDS	945			COG1752	putative NTE family protein
EJKFKEDI_02614	CDS	1014	rssB		COG0784	Regulator of RpoS
EJKFKEDI_02615	CDS	909	galU	2.7.7.9	COG1210	UTP--glucose-1-phosphate uridylyltransferase
EJKFKEDI_02616	CDS	414	hns_1		COG2916	DNA-binding protein H-NS
EJKFKEDI_02617	CDS	618	tdk	2.7.1.21	COG1435	Thymidine kinase
EJKFKEDI_02618	CDS	1206				hypothetical protein
EJKFKEDI_02619	CDS	2676	adhE		COG1012	Aldehyde-alcohol dehydrogenase
EJKFKEDI_02620	CDS	648				hypothetical protein
EJKFKEDI_02621	CDS	156				hypothetical protein
EJKFKEDI_02622	CDS	162				hypothetical protein
EJKFKEDI_02623	CDS	1677	oppA		COG4166	Periplasmic oligopeptide-binding protein
EJKFKEDI_02624	CDS	921	oppB		COG0601	Oligopeptide transport system permease protein OppB
EJKFKEDI_02625	CDS	909	oppC		COG1173	Oligopeptide transport system permease protein OppC
EJKFKEDI_02626	CDS	1014	oppD		COG0444	Oligopeptide transport ATP-binding protein OppD
EJKFKEDI_02627	CDS	1005	btuD_2	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
EJKFKEDI_02628	CDS	330				hypothetical protein
EJKFKEDI_02629	CDS	1461	clsA	2.7.8.-	COG1502	Cardiolipin synthase A
EJKFKEDI_02630	CDS	1254	kch		COG1226	Voltage-gated potassium channel Kch
EJKFKEDI_02631	CDS	297	yciI		COG2350	Protein YciI
EJKFKEDI_02632	CDS	717	tonB		COG0810	Protein TonB
EJKFKEDI_02633	CDS	399		3.1.2.-	COG1607	putative acyl-CoA thioester hydrolase
EJKFKEDI_02634	CDS	540	yciB		COG2917	putative intracellular septation protein A
EJKFKEDI_02635	CDS	744				hypothetical protein
EJKFKEDI_02636	CDS	639	ompW		COG3047	Outer membrane protein W
EJKFKEDI_02637	CDS	1131				hypothetical protein
EJKFKEDI_02638	CDS	2472				hypothetical protein
EJKFKEDI_02639	CDS	192				hypothetical protein
EJKFKEDI_02640	CDS	189				hypothetical protein
EJKFKEDI_02641	CDS	219				hypothetical protein
EJKFKEDI_02642	CDS	129	ydfB_2			putative protein YdfB
EJKFKEDI_02643	CDS	237				hypothetical protein
EJKFKEDI_02644	CDS	717	lexA_2	3.4.21.88		LexA repressor
EJKFKEDI_02645	CDS	216				hypothetical protein
EJKFKEDI_02646	CDS	426				hypothetical protein
EJKFKEDI_02647	CDS	963				hypothetical protein
EJKFKEDI_02648	CDS	747	dnaC_2		COG1484	DNA replication protein DnaC
EJKFKEDI_02649	CDS	771				hypothetical protein
EJKFKEDI_02650	CDS	426				hypothetical protein
EJKFKEDI_02651	CDS	666	queH	1.17.99.6	COG1636	Epoxyqueuosine reductase QueH
EJKFKEDI_02652	CDS	213				hypothetical protein
EJKFKEDI_02653	CDS	1056				hypothetical protein
EJKFKEDI_02654	CDS	381	rusA_3	3.1.22.4	COG4570	Crossover junction endodeoxyribonuclease RusA
EJKFKEDI_02655	CDS	822				hypothetical protein
EJKFKEDI_02656	CDS	198				hypothetical protein
EJKFKEDI_02657	CDS	1050				hypothetical protein
EJKFKEDI_02658	tRNA	76				tRNA-Met(cat)
EJKFKEDI_02659	tRNA	77				tRNA-Arg(tct)
EJKFKEDI_02660	CDS	336	iraM_2			Anti-adapter protein IraM
EJKFKEDI_02661	CDS	189				hypothetical protein
EJKFKEDI_02662	CDS	1629				hypothetical protein
EJKFKEDI_02663	CDS	216				hypothetical protein
EJKFKEDI_02664	CDS	345				hypothetical protein
EJKFKEDI_02665	CDS	273				hypothetical protein
EJKFKEDI_02666	CDS	534	rrrD_2	3.2.1.17	COG3772	Lysozyme RrrD
EJKFKEDI_02667	CDS	132				hypothetical protein
EJKFKEDI_02668	CDS	495				hypothetical protein
EJKFKEDI_02669	CDS	216				hypothetical protein
EJKFKEDI_02670	CDS	201				hypothetical protein
EJKFKEDI_02671	CDS	366				hypothetical protein
EJKFKEDI_02672	CDS	564				hypothetical protein
EJKFKEDI_02673	CDS	1662				hypothetical protein
EJKFKEDI_02674	CDS	1938				hypothetical protein
EJKFKEDI_02675	CDS	222				hypothetical protein
EJKFKEDI_02676	CDS	2586				hypothetical protein
EJKFKEDI_02677	CDS	327				hypothetical protein
EJKFKEDI_02678	CDS	351				hypothetical protein
EJKFKEDI_02679	CDS	447				hypothetical protein
EJKFKEDI_02680	CDS	345				hypothetical protein
EJKFKEDI_02681	CDS	717				hypothetical protein
EJKFKEDI_02682	CDS	375				hypothetical protein
EJKFKEDI_02683	CDS	210				hypothetical protein
EJKFKEDI_02684	CDS	3243				hypothetical protein
EJKFKEDI_02685	CDS	342				hypothetical protein
EJKFKEDI_02686	CDS	699				hypothetical protein
EJKFKEDI_02687	CDS	744				hypothetical protein
EJKFKEDI_02688	CDS	582				hypothetical protein
EJKFKEDI_02689	CDS	3474				hypothetical protein
EJKFKEDI_02690	CDS	459	ompX_2		COG3637	Outer membrane protein X
EJKFKEDI_02691	CDS	1542				IS21 family transposase ISPpu7
EJKFKEDI_02692	CDS	747				IS21 family transposase ISEc12
EJKFKEDI_02693	CDS	738				hypothetical protein
EJKFKEDI_02694	CDS	1350				hypothetical protein
EJKFKEDI_02695	CDS	534				hypothetical protein
EJKFKEDI_02696	CDS	528				hypothetical protein
EJKFKEDI_02697	CDS	969				hypothetical protein
EJKFKEDI_02698	CDS	90				hypothetical protein
EJKFKEDI_02699	CDS	657				hypothetical protein
EJKFKEDI_02700	CDS	270				hypothetical protein
EJKFKEDI_02701	CDS	171				hypothetical protein
EJKFKEDI_02702	CDS	558				hypothetical protein
EJKFKEDI_02703	CDS	807	trpA	4.2.1.20	COG0159	Tryptophan synthase alpha chain
EJKFKEDI_02704	CDS	1194	trpB	4.2.1.20	COG0133	Tryptophan synthase beta chain
EJKFKEDI_02705	CDS	1359	trpC		COG0134	Tryptophan biosynthesis protein TrpCF
EJKFKEDI_02706	CDS	1596	trpGD		COG0512	Bifunctional protein TrpGD
EJKFKEDI_02707	CDS	1563	trpE	4.1.3.27	COG0147	Anthranilate synthase component 1
EJKFKEDI_02708	CDS	882	yciV	3.1.13.-	COG0613	5'-3' exoribonuclease
EJKFKEDI_02709	CDS	621	yciO		COG0009	putative protein YciO
EJKFKEDI_02710	CDS	1896				hypothetical protein
EJKFKEDI_02711	CDS	876	rluB	5.4.99.22	COG1187	Ribosomal large subunit pseudouridine synthase B
EJKFKEDI_02712	CDS	1023				hypothetical protein
EJKFKEDI_02713	CDS	309				hypothetical protein
EJKFKEDI_02714	CDS	591	btuR	2.5.1.17	COG2109	Corrinoid adenosyltransferase
EJKFKEDI_02715	CDS	759	yciK	1.-.-.-	COG1028	putative oxidoreductase YciK
EJKFKEDI_02716	CDS	1050	sohB	3.4.21.-	COG0616	putative protease SohB
EJKFKEDI_02717	CDS	252	yciN			Protein YciN
EJKFKEDI_02718	CDS	2598	topA_2	5.6.2.1	COG0550	DNA topoisomerase 1
EJKFKEDI_02719	CDS	975	cysB			HTH-type transcriptional regulator CysB
EJKFKEDI_02720	CDS	129	ymiA			Protein YmiA
EJKFKEDI_02721	CDS	168				hypothetical protein
EJKFKEDI_02722	CDS	2676	acnA	4.2.1.3	COG1048	Aconitate hydratase A
EJKFKEDI_02723	CDS	591	ribA	3.5.4.25	COG0807	GTP cyclohydrolase-2
EJKFKEDI_02724	CDS	765	pgpB	3.1.3.27	COG0671	Phosphatidylglycerophosphatase B
EJKFKEDI_02725	CDS	309	lapA		COG3771	Lipopolysaccharide assembly protein A
EJKFKEDI_02726	CDS	1170	lapB_1		COG2956	Lipopolysaccharide assembly protein B
EJKFKEDI_02727	CDS	798	pyrF	4.1.1.23	COG0284	Orotidine 5'-phosphate decarboxylase
EJKFKEDI_02728	CDS	327	yciH		COG0023	putative protein YciH
EJKFKEDI_02729	CDS	219	osmB			Osmotically-inducible lipoprotein B
EJKFKEDI_02730	CDS	378			COG1662	IS1 family transposase IS1R
EJKFKEDI_02731	CDS	216				hypothetical protein
EJKFKEDI_02732	CDS	750	srlR_5		COG1349	Glucitol operon repressor
EJKFKEDI_02733	CDS	174				hypothetical protein
EJKFKEDI_02734	CDS	1986	pdeR	3.1.4.52	COG2199	Cyclic di-GMP phosphodiesterase PdeR
EJKFKEDI_02735	CDS	1935	rnb	3.1.13.1	COG4776	Exoribonuclease 2
EJKFKEDI_02736	CDS	1128				hypothetical protein
EJKFKEDI_02737	CDS	789	fabI	1.3.1.9	COG0623	Enoyl-[acyl-carrier-protein] reductase [NADH] FabI
EJKFKEDI_02738	CDS	567	betI_2			HTH-type transcriptional regulator BetI
EJKFKEDI_02739	CDS	1122	mexA			Multidrug resistance protein MexA
EJKFKEDI_02740	CDS	3108	mexB		COG0841	Multidrug resistance protein MexB
EJKFKEDI_02741	CDS	1374	ttgC		COG1538	putative efflux pump outer membrane protein TtgC
EJKFKEDI_02742	CDS	1164	bcr_2			Bicyclomycin resistance protein
EJKFKEDI_02743	CDS	807	sapF		COG4167	Putrescine export system ATP-binding protein SapF
EJKFKEDI_02744	CDS	993	sapD		COG4170	Putrescine export system ATP-binding protein SapD
EJKFKEDI_02745	CDS	891	sapC		COG4171	Putrescine export system permease protein SapC
EJKFKEDI_02746	CDS	966	sapB_2		COG4168	Putrescine export system permease protein SapB
EJKFKEDI_02747	CDS	1644	sapA		COG4166	Peptide transport periplasmic protein SapA
EJKFKEDI_02748	CDS	246				hypothetical protein
EJKFKEDI_02749	CDS	978	pspF		COG1221	Psp operon transcriptional activator
EJKFKEDI_02750	CDS	669	pspA		COG1842	Phage shock protein A
EJKFKEDI_02751	CDS	225	pspB_2			Phage shock protein B
EJKFKEDI_02752	CDS	360	pspC		COG1983	Phage shock protein C
EJKFKEDI_02753	CDS	222	pspD			Phage shock protein D
EJKFKEDI_02754	CDS	315	pspE	2.8.1.1	COG0607	Thiosulfate sulfurtransferase PspE
EJKFKEDI_02755	CDS	1680	ycjM	2.4.1.352	COG0366	Glucosylglycerate phosphorylase
EJKFKEDI_02756	CDS	1293				hypothetical protein
EJKFKEDI_02757	CDS	882	ycjO		COG1175	Inner membrane ABC transporter permease protein YcjO
EJKFKEDI_02758	CDS	843	ycjP		COG0395	Inner membrane ABC transporter permease protein YcjP
EJKFKEDI_02759	CDS	1053	tdh_2	1.1.1.103		L-threonine 3-dehydrogenase
EJKFKEDI_02760	CDS	789	iolE	4.2.1.44		Inosose dehydratase
EJKFKEDI_02761	CDS	1056	iolG	1.1.1.18	COG0673	Myo-inositol 2-dehydrogenase
EJKFKEDI_02762	CDS	2268	ycjT	2.4.1.230	COG1554	Kojibiose phosphorylase
EJKFKEDI_02763	CDS	660	ycjU	5.4.2.6	COG0637	Beta-phosphoglucomutase
EJKFKEDI_02764	CDS	1083	msmX	7.5.2.-	COG3839	Oligosaccharides import ATP-binding protein MsmX
EJKFKEDI_02765	CDS	906	ompG			Outer membrane porin G
EJKFKEDI_02766	CDS	999	ccpA		COG1609	Catabolite control protein A
EJKFKEDI_02767	CDS	1398	ycjX		COG3106	putative protein YcjX
EJKFKEDI_02768	CDS	1062				hypothetical protein
EJKFKEDI_02769	CDS	1542	tyrR		COG3283	Transcriptional regulatory protein TyrR
EJKFKEDI_02770	CDS	507	tpx	1.11.1.15	COG2077	Thiol peroxidase
EJKFKEDI_02771	CDS	966	ycjG	5.1.1.20	COG4948	L-Ala-D/L-Glu epimerase
EJKFKEDI_02772	CDS	729	mpaA	3.4.17.-	COG2866	Murein peptide amidase A
EJKFKEDI_02773	CDS	639				hypothetical protein
EJKFKEDI_02774	CDS	921	ycjY_2		COG1073	putative protein YcjY
EJKFKEDI_02775	CDS	900	pgrR_3			HTH-type transcriptional regulator PgrR
EJKFKEDI_02776	CDS	1614	mppA		COG4166	Periplasmic murein peptide-binding protein
EJKFKEDI_02777	CDS	1032	ynaI		COG0668	Low conductance mechanosensitive channel YnaI
EJKFKEDI_02778	CDS	258				hypothetical protein
EJKFKEDI_02779	CDS	951	uspE		COG0589	Universal stress protein E
EJKFKEDI_02780	CDS	753	fnr		COG0664	Fumarate and nitrate reduction regulatory protein
EJKFKEDI_02781	CDS	516	ogt	2.1.1.63	COG0350	Methylated-DNA--protein-cysteine methyltransferase
EJKFKEDI_02782	CDS	816	nimR_2			HTH-type transcriptional regulator NimR
EJKFKEDI_02783	CDS	1029	emrA_1			Colistin resistance protein EmrA
EJKFKEDI_02784	CDS	1512	emrB_1			Colistin resistance protein EmrB
EJKFKEDI_02785	CDS	564	smrA	3.1.-.-	COG2840	putative DNA endonuclease SmrA
EJKFKEDI_02786	CDS	1233	dgcM	2.7.7.65	COG2199	Diguanylate cyclase DgcM
EJKFKEDI_02787	CDS	984	zntB		COG0598	Zinc transport protein ZntB
EJKFKEDI_02788	CDS	174	ynaL			Protein YnaL
EJKFKEDI_02789	CDS	1374	dbpA	3.6.4.13	COG0513	ATP-dependent RNA helicase DbpA
EJKFKEDI_02790	CDS	936	ttcA	2.8.1.-	COG0037	tRNA-cytidine(32) 2-sulfurtransferase
EJKFKEDI_02791	CDS	270				hypothetical protein
EJKFKEDI_02792	CDS	435	uspF		COG0589	Universal stress protein F
EJKFKEDI_02793	CDS	1134	ompN		COG3203	Outer membrane porin N
EJKFKEDI_02794	CDS	3525	nifJ	1.2.7.-	COG0674	Pyruvate-flavodoxin oxidoreductase
EJKFKEDI_02795	CDS	267				hypothetical protein
EJKFKEDI_02796	CDS	423	hslJ		COG3187	Heat shock protein HslJ
EJKFKEDI_02797	CDS	990	ldhA	1.1.1.28	COG1052	D-lactate dehydrogenase
EJKFKEDI_02798	CDS	2640				hypothetical protein
EJKFKEDI_02799	CDS	186				hypothetical protein
EJKFKEDI_02800	CDS	327				hypothetical protein
EJKFKEDI_02801	CDS	234	feaR		COG2207	Transcriptional activator FeaR
EJKFKEDI_02802	CDS	171	caiE			Carnitine operon protein CaiE
EJKFKEDI_02803	CDS	1107	selU	2.5.1.-	COG2603	tRNA 2-selenouridine synthase
EJKFKEDI_02804	CDS	927	allS			HTH-type transcriptional activator AllS
EJKFKEDI_02805	CDS	483	allA	4.3.2.3	COG3194	Ureidoglycolate lyase
EJKFKEDI_02806	CDS	816	allR		COG1414	HTH-type transcriptional repressor AllR
EJKFKEDI_02807	CDS	1782	gcl	4.1.1.47	COG3960	Glyoxylate carboligase
EJKFKEDI_02808	CDS	777	hyi	5.3.1.22	COG3622	Hydroxypyruvate isomerase
EJKFKEDI_02809	CDS	879	glxR	1.1.1.60	COG2084	2-hydroxy-3-oxopropionate reductase
EJKFKEDI_02810	CDS	1455	ybbW		COG1953	Putative allantoin permease
EJKFKEDI_02811	CDS	1362	allB	3.5.2.5	COG0044	Allantoinase
EJKFKEDI_02812	CDS	1302	ybbY		COG2233	Putative purine permease YbbY
EJKFKEDI_02813	CDS	1146	glxK	2.7.1.31	COG1929	Glycerate 3-kinase
EJKFKEDI_02814	CDS	786	allE	3.5.3.26	COG3257	(S)-ureidoglycine aminohydrolase
EJKFKEDI_02815	CDS	1236	allC	3.5.3.9	COG0624	Allantoate amidohydrolase
EJKFKEDI_02816	CDS	1050	allD	1.1.1.350	COG2055	Ureidoglycolate dehydrogenase (NAD(+))
EJKFKEDI_02817	CDS	1668	fdrA_2		COG0074	Protein FdrA
EJKFKEDI_02818	CDS	1260				hypothetical protein
EJKFKEDI_02819	CDS	816				hypothetical protein
EJKFKEDI_02820	CDS	894	arcC1_2	2.7.2.2		Carbamate kinase 1
EJKFKEDI_02821	CDS	1068	purK	6.3.4.18	COG0026	N5-carboxyaminoimidazole ribonucleotide synthase
EJKFKEDI_02822	CDS	510	purE	5.4.99.18	COG0041	N5-carboxyaminoimidazole ribonucleotide mutase
EJKFKEDI_02823	CDS	330				hypothetical protein
EJKFKEDI_02824	CDS	723	lpxH	3.6.1.54	COG2908	UDP-2,3-diacylglucosamine hydrolase
EJKFKEDI_02825	CDS	495	ppiB	5.2.1.8	COG0652	Peptidyl-prolyl cis-trans isomerase B
EJKFKEDI_02826	CDS	1386	cysS	6.1.1.16	COG0215	Cysteine--tRNA ligase
EJKFKEDI_02827	CDS	522	ybcI		COG1988	Inner membrane protein YbcI
EJKFKEDI_02828	CDS	213	ybcJ		COG2501	putative protein YbcJ
EJKFKEDI_02829	CDS	867	folD		COG0190	Bifunctional protein FolD protein
EJKFKEDI_02830	tRNA	77				tRNA-Arg(tct)
EJKFKEDI_02831	CDS	300				hypothetical protein
EJKFKEDI_02832	CDS	669				hypothetical protein
EJKFKEDI_02833	CDS	954	ompT	3.4.23.49	COG4571	Protease 7
EJKFKEDI_02834	CDS	891				hypothetical protein
EJKFKEDI_02835	CDS	2973	nfrA		COG0457	Bacteriophage adsorption protein A
EJKFKEDI_02836	CDS	2238				hypothetical protein
EJKFKEDI_02837	CDS	1443	cusS	2.7.13.3	COG0642	Sensor histidine kinase CusS
EJKFKEDI_02838	CDS	684	cusR		COG0745	Transcriptional regulatory protein CusR
EJKFKEDI_02839	CDS	1383	cusC_1		COG1538	Cation efflux system protein CusC
EJKFKEDI_02840	CDS	333	cusF		COG5569	Cation efflux system protein CusF
EJKFKEDI_02841	CDS	1224	cusB			Cation efflux system protein CusB
EJKFKEDI_02842	CDS	3144	cusA		COG3696	Cation efflux system protein CusA
EJKFKEDI_02843	CDS	1383	pheP		COG1113	Phenylalanine-specific permease
EJKFKEDI_02844	CDS	1248	ybdG		COG0668	Miniconductance mechanosensitive channel YbdG
EJKFKEDI_02845	CDS	654	nfsB	1.-.-.-	COG0778	Oxygen-insensitive NAD(P)H nitroreductase
EJKFKEDI_02846	CDS	384				hypothetical protein
EJKFKEDI_02847	CDS	249				hypothetical protein
EJKFKEDI_02848	CDS	1119	ybdK	6.3.2.2	COG2170	Putative glutamate--cysteine ligase 2
EJKFKEDI_02849	CDS	153	hokE_1			Toxic protein HokE
EJKFKEDI_02850	CDS	153	hokE_2			Toxic protein HokE
EJKFKEDI_02851	CDS	786	gdh	1.1.1.16		Galactitol 2-dehydrogenase
EJKFKEDI_02852	CDS	798	fabG_2	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
EJKFKEDI_02853	CDS	1068	rbsC_2		COG1172	Ribose import permease protein RbsC
EJKFKEDI_02854	CDS	1545	rbsA_2	7.5.2.7	COG1129	Ribose import ATP-binding protein RbsA
EJKFKEDI_02855	CDS	621				hypothetical protein
EJKFKEDI_02856	CDS	936	rbsB_2		COG1879	Ribose import binding protein RbsB
EJKFKEDI_02857	CDS	1521	aplK	2.7.1.-	COG0554	Apulose kinase
EJKFKEDI_02858	CDS	951	sorC_1		COG2390	Sorbitol operon regulator
EJKFKEDI_02859	CDS	831	aptA	2.2.1.-	COG3959	Apulose-4-phosphate transketolase subunit A
EJKFKEDI_02860	CDS	936	aptB	2.2.1.-	COG3958	Apulose-4-phosphate transketolase subunit B
EJKFKEDI_02861	CDS	783				hypothetical protein
