Plasmid,Plasmid Length,Resistance,Resistance Gene,Resistance Count,TF Protein,TF Gene,TF Gene Simplified,TF Count,DeepTFactor Locus_ID,DeepTF Count
NZ_CP031234.1,46995,['None'],['None'],0,['None'],['None'],['None'],0,"['NKIEKKMD_00028', 'NKIEKKMD_00053', 'NKIEKKMD_00054']",3
NZ_CP031235.1,85457,"['CARBAPENEM', 'BLEOMYCIN', 'SULFONAMIDE', 'GENTAMICIN', 'MACROLIDE', 'MACROLIDE', 'CEPHALOSPORIN']","['blaNDM-1', 'ble-MBL', 'sul1', 'armA', 'msr(E)', 'mph(E)', 'blaCTX-M-3']",7,"['Transcriptional regulatory protein ros', 'Cryptic phage CTXphi transcriptional repressor RstR', 'Transcriptional repressor protein KorC']","['ros', 'rstR1 VC_1455; rstR2 VC_1464', 'korC']","['ros', 'rstR1', 'korC']",3,"['DNBKCKIH_00040', 'DNBKCKIH_00061', 'DNBKCKIH_00065', 'DNBKCKIH_00086', 'DNBKCKIH_00091', 'DNBKCKIH_00093', 'DNBKCKIH_00107']",7
NZ_CP031294.1,110687,['None'],['None'],0,['None'],['None'],['None'],0,"['OIHKKCJN_00001', 'OIHKKCJN_00018', 'OIHKKCJN_00068', 'OIHKKCJN_00069']",4
NZ_CP031295.1,245306,"['SULFONAMIDE', 'SULFONAMIDE', 'CHLORAMPHENICOL;FLORFENICOL', 'TRIMETHOPRIM', 'STREPTOMYCIN', 'CHLORAMPHENICOL', 'STREPTOMYCIN', 'TETRACYCLINE', 'TETRACYCLINE', 'KANAMYCIN', 'BETA-LACTAM']","['sul3', 'sul2', 'floR', 'dfrA12', 'aadA2', 'cmlA1', 'aadA1', 'tet(M)', 'tet(A)', ""aph(3')-Ia"", 'blaTEM-1']",11,"['Probable transcriptional regulatory protein SilR', 'HTH-type transcriptional regulator MalT (ATP-dependent transcriptional activator MalT)', 'Carbapenem-hydrolyzing beta-lactamase transcriptional activator', 'Fertility inhibition protein (Conjugal transfer repressor)', 'Replication regulatory protein RepA2 (Protein CopB)', 'Tetracycline repressor protein class A from transposon 1721', 'Probable HTH-type transcriptional regulator YgaV', 'Transcriptional repressor PifC (Protein C)']","['silR', 'malT EcSMS35_3699', 'nmcR', 'finO', 'repA2 copB ECOK12F006', 'tetR', 'ygaV b2667 JW2642', 'pifC C repC ECOK12F041']","['silR', 'malT', 'nmcR', 'finO', 'repA2', 'tetR', 'ygaV', 'pifC']",8,"['JABGGFBJ_00012', 'JABGGFBJ_00024', 'JABGGFBJ_00050', 'JABGGFBJ_00070', 'JABGGFBJ_00083', 'JABGGFBJ_00098', 'JABGGFBJ_00107', 'JABGGFBJ_00152', 'JABGGFBJ_00153', 'JABGGFBJ_00164', 'JABGGFBJ_00175', 'JABGGFBJ_00218', 'JABGGFBJ_00236', 'JABGGFBJ_00281', 'JABGGFBJ_00290']",15
NZ_CP031296.1,60039,['COLISTIN'],['mcr-1.1'],1,['Transcriptional activatory protein CaiF'],['caiF SF0031 S0033'],['caiF'],1,"['AONNJJID_00012', 'AONNJJID_00025']",2
NZ_CP031297.1,188231,"['BETA-LACTAM', 'STREPTOMYCIN', 'STREPTOMYCIN', 'STREPTOMYCIN', 'GENTAMICIN;KANAMYCIN;TOBRAMYCIN', 'SULFONAMIDE', 'BLEOMYCIN', 'CARBAPENEM', 'AMIKACIN;KANAMYCIN', 'SULFONAMIDE', 'QUINOLONE', 'SULFONAMIDE']","['blaOXA-4', 'aadA2', ""aph(3'')-Ib"", 'aph(6)-Id', ""ant(2'')-Ia"", 'sul1', 'ble-MBL', 'blaNDM-1', ""aph(3')-VIa"", 'sul1', 'qnrA1', 'sul1']",12,"['Transcriptional repressor protein KorB', 'Transcriptional regulator Rv3488', 'HTH-type transcriptional regulator MerD (Mercuric resistance protein MerD)', 'Mercuric resistance operon regulatory protein', 'Transcriptional regulatory protein BaeR', 'Probable transcriptional regulator LumQ', ""Putative HTH-type transcriptional regulator in exeN 3'region (ORF2)"", 'Negative regulator of transcription (Ner)', 'Flagellar transcriptional regulator FlhD', 'Flagellar transcriptional regulator FlhC']","['korB', 'Rv3488', 'merD', 'merR', 'baeR b2079 JW2064', 'lumQ', nan, 'ner', 'flhD NE2407', 'flhC']","['korB', 'Rv3488', 'merD', 'merR', 'baeR', 'lumQ', 'nan', 'ner', 'flhD', 'flhC']",10,"['CHFIAKLG_00022', 'CHFIAKLG_00024', 'CHFIAKLG_00042', 'CHFIAKLG_00051', 'CHFIAKLG_00052', 'CHFIAKLG_00153', 'CHFIAKLG_00163', 'CHFIAKLG_00172', 'CHFIAKLG_00175', 'CHFIAKLG_00180', 'CHFIAKLG_00203', 'CHFIAKLG_00206', 'CHFIAKLG_00208']",13
NZ_CP031322.1,75646,"['BETA-LACTAM', 'SULFONAMIDE', 'BLEOMYCIN', 'CARBAPENEM']","['blaTEM-1', 'sul1', 'ble-MBL', 'blaNDM-1']",4,"['Replication regulatory protein repA2 (Protein CopB)', 'Transcriptional regulatory protein ros', 'HTH-type transcriptional activator AmpR', 'Cryptic phage CTXphi transcriptional repressor RstR', 'Transcriptional repressor protein KorC']","['repA2 copB L7006 ECO57PM67', 'ros', 'ampR', 'rstR1 VC_1455; rstR2 VC_1464', 'korC']","['repA2', 'ros', 'ampR', 'rstR1', 'korC']",5,"['MKCAGFMJ_00018', 'MKCAGFMJ_00023', 'MKCAGFMJ_00040', 'MKCAGFMJ_00050', 'MKCAGFMJ_00057', 'MKCAGFMJ_00071']",6
NZ_CP031323.1,82462,['None'],['None'],0,"['Putative HTH-type transcriptional regulator YkgA', 'AFA-III adhesin operon regulatory protein', 'Fertility inhibition protein (Conjugal transfer repressor)', 'Replication regulatory protein repA2 (Protein CopB)', 'HTH-type transcriptional regulator AppY (M5 polypeptide)']","['ykgA b0300 JW5037', 'afaA', 'finO', 'repA2 copB', 'appY b0564 JW0553']","['ykgA', 'afaA', 'finO', 'repA2', 'appY']",5,"['GKBEBMFP_00012', 'GKBEBMFP_00022', 'GKBEBMFP_00054', 'GKBEBMFP_00076', 'GKBEBMFP_00082', 'GKBEBMFP_00093', 'GKBEBMFP_00097']",7
NZ_CP031610.1,160293,"['TRIMETHOPRIM', 'STREPTOMYCIN', 'SULFONAMIDE', 'QUINOLONE', 'SULFONAMIDE', 'MACROLIDE', 'STREPTOMYCIN', 'TRIMETHOPRIM', 'AMIKACIN;KANAMYCIN;TOBRAMYCIN', 'CARBAPENEM']","['dfrA12', 'aadA2', 'sul1', 'qnrA1', 'sul1', 'mph(A)', 'aadA1', 'dfrA1', ""aac(6')-Il"", 'blaVIM-1']",10,"['Transcriptional repressor protein KorB', 'Transcriptional regulator Rv3488', 'Uncharacterized HTH-type transcriptional regulator YfiR', 'HTH-type transcriptional regulator MerD (Mercuric resistance protein MerD)', 'Mercuric resistance operon regulatory protein', 'Negative regulator of transcription (Ner)', 'Flagellar transcriptional regulator FlhD', 'Flagellar transcriptional regulator FlhC']","['korB', 'Rv3488', 'yfiR BSU08370', 'merD', 'merR', 'ner', 'flhD NE2407', 'flhC']","['korB', 'Rv3488', 'yfiR', 'merD', 'merR', 'ner', 'flhD', 'flhC']",8,"['JBEDIIGP_00021', 'JBEDIIGP_00023', 'JBEDIIGP_00041', 'JBEDIIGP_00050', 'JBEDIIGP_00051', 'JBEDIIGP_00142', 'JBEDIIGP_00154', 'JBEDIIGP_00156', 'JBEDIIGP_00173', 'JBEDIIGP_00178', 'JBEDIIGP_00179']",11
NZ_CP031899.1,160713,['None'],['None'],0,"['HTH-type transcriptional regulator PapX', 'Major pilu subunit operon regulatory protein PapB']","['papX', 'papB']","['papX', 'papB']",2,"['HHHHKCHA_00011', 'HHHHKCHA_00033', 'HHHHKCHA_00042', 'HHHHKCHA_00044', 'HHHHKCHA_00063', 'HHHHKCHA_00126', 'HHHHKCHA_00155', 'HHHHKCHA_00158']",8
NZ_CP031900.1,7770,['None'],['None'],0,['None'],['None'],['None'],0,[],0
NZ_CP031901.1,7118,['None'],['None'],0,['None'],['None'],['None'],0,['EIGDHFBD_00005'],1
NZ_CP031903.1,88546,"['CEPHALOSPORIN', 'BETA-LACTAM']","['blaCTX-M-15', 'blaTEM-1']",2,['Response regulator UvrY'],['uvrY c2327'],['uvrY'],1,"['AENBBNHP_00040', 'AENBBNHP_00048', 'AENBBNHP_00056', 'AENBBNHP_00061', 'AENBBNHP_00075', 'AENBBNHP_00078']",6
NZ_CP031904.1,75670,['None'],['None'],0,"['Fertility inhibition protein (Conjugal transfer repressor)', 'Replication regulatory protein repA2 (Protein CopB)', 'Transcriptional activator AggR (AAF/I regulatory protein)']","['finO', 'repA2 copB', 'aggR']","['finO', 'repA2', 'aggR']",3,"['LAENLEIL_00027', 'LAENLEIL_00030', 'LAENLEIL_00050', 'LAENLEIL_00060', 'LAENLEIL_00069']",5
NZ_CP031905.1,1550,['None'],['None'],0,['None'],['None'],['None'],0,['BHDGIIND_00001'],1
NZ_CP031907.1,121037,['None'],['None'],0,"['Fertility inhibition protein (Conjugal transfer repressor)', 'Replication regulatory protein repA2 (Protein CopB)', 'Major pilu subunit operon regulatory protein PapB', 'HTH-type transcriptional regulator PapX']","['finO', 'repA2 copB', 'papB', 'papX']","['finO', 'repA2', 'papB', 'papX']",4,"['HOIALFOL_00023', 'HOIALFOL_00028', 'HOIALFOL_00050', 'HOIALFOL_00055', 'HOIALFOL_00056', 'HOIALFOL_00076', 'HOIALFOL_00089', 'HOIALFOL_00092', 'HOIALFOL_00097', 'HOIALFOL_00105', 'HOIALFOL_00107']",11
NZ_CP031909.1,73225,['None'],['None'],0,"['Fertility inhibition protein (Conjugal transfer repressor)', 'Virulence regulon transcriptional activator VirB (Cell invasion regulator InvE)']","['finO L7001 ECO57PM64', 'virB invE']","['finO', 'virB']",2,['DNFBPPMO_00039'],1
NZ_CP031911.1,80682,['None'],['None'],0,['HTH-type transcriptional regulator PrsX'],['prsX'],['prsX'],1,"['DHGNLBAI_00016', 'DHGNLBAI_00020', 'DHGNLBAI_00028', 'DHGNLBAI_00055', 'DHGNLBAI_00064']",5
NZ_CP031914.1,92755,['None'],['None'],0,"['HTH-type transcriptional regulator PapX', 'Fertility inhibition protein (Conjugal transfer repressor)', 'Replication regulatory protein repA2 (Protein CopB)']","['papX', 'finO L7001 ECO57PM64', 'repA2 copB L7006 ECO57PM67']","['papX', 'finO', 'repA2']",3,"['FCDOKILC_00010', 'FCDOKILC_00037', 'FCDOKILC_00051', 'FCDOKILC_00076']",4
NZ_CP031915.1,6676,['None'],['None'],0,['None'],['None'],['None'],0,[],0
NZ_CP031917.1,95229,['None'],['None'],0,['Uncharacterized HTH-type transcriptional regulator YbaQ'],['ybaQ b0483 JW0472'],['ybaQ'],1,"['BMLPDMMO_00045', 'BMLPDMMO_00071', 'BMLPDMMO_00099', 'BMLPDMMO_00138', 'BMLPDMMO_00143', 'BMLPDMMO_00153']",6
NZ_CP031918.1,52941,['None'],['None'],0,['Fertility inhibition protein (Conjugal transfer repressor)'],['finO'],['finO'],1,[],0
NZ_CP031920.1,92499,['None'],['None'],0,['None'],['None'],['None'],0,"['CLGJNMHD_00049', 'CLGJNMHD_00055', 'CLGJNMHD_00079', 'CLGJNMHD_00111']",4
NZ_CP031921.1,2032,['None'],['None'],0,['None'],['None'],['None'],0,[],0
NZ_CP031923.1,95299,['None'],['None'],0,['None'],['None'],['None'],0,"['CGAOPJKO_00028', 'CGAOPJKO_00051', 'CGAOPJKO_00055', 'CGAOPJKO_00078']",4
NZ_CP031924.1,6716,['None'],['None'],0,['None'],['None'],['None'],0,[],0
NZ_CP031925.1,4149,['None'],['None'],0,['None'],['None'],['None'],0,[],0
NZ_CP032086.1,94205,['None'],['None'],0,"['Uncharacterized HTH-type transcriptional regulator YobD', 'Cryptic phage CTXphi transcriptional repressor RstR', 'Transcriptional repressor protein KorC']","['yobD BSU18850', 'rstR1 VC_1455; rstR2 VC_1464', 'korC']","['yobD', 'rstR1', 'korC']",3,"['NHPFJHLO_00036', 'NHPFJHLO_00038', 'NHPFJHLO_00040', 'NHPFJHLO_00043', 'NHPFJHLO_00093', 'NHPFJHLO_00106', 'NHPFJHLO_00108', 'NHPFJHLO_00110', 'NHPFJHLO_00113']",9
NZ_CP032087.1,37010,['None'],['None'],0,['None'],['None'],['None'],0,"['BHAOKNOB_00004', 'BHAOKNOB_00017', 'BHAOKNOB_00019', 'BHAOKNOB_00035', 'BHAOKNOB_00046']",5
NZ_CP032088.1,28564,['None'],['None'],0,['None'],['None'],['None'],0,"['AMPCOMAE_00005', 'AMPCOMAE_00007', 'AMPCOMAE_00020']",3
NZ_CP032420.1,2960,['None'],['None'],0,['None'],['None'],['None'],0,[],0
NZ_CP032421.1,2445,['None'],['None'],0,['Protein phosphatase 1 regulatory subunit 3C (Protein phosphatase 1 regulatory subunit 5) (PP1 subunit R5) (Protein targeting to glycogen) (PTG)'],['PPP1R3C PPP1R5'],['PPP1R3C'],1,[],0
NZ_CP032422.1,1990,['None'],['None'],0,['None'],['None'],['None'],0,[],0
NZ_CP032423.1,1522,['None'],['None'],0,['None'],['None'],['None'],0,[],0
NZ_CP032424.1,46162,['CARBAPENEM'],['blaNDM-5'],1,['None'],['None'],['None'],0,"['GEHGPJNC_00003', 'GEHGPJNC_00051']",2
NZ_CP032425.1,88393,"['CEPHALOSPORIN', 'AMIKACIN;KANAMYCIN;TOBRAMYCIN', 'TETRACYCLINE']","['blaOXA-1', ""aac(6')-Ib-D181Y"", 'tet(A)']",3,"['Tetracycline repressor protein class A from transposon 1721', 'Replication regulatory protein repA2 (Protein CopB)', 'Arginine repressor', 'Replication regulatory protein RepA2 (Protein CopB)', 'Fertility inhibition protein (Conjugal transfer repressor)']","['tetR', 'repA2 copB', 'argR VP0324', 'repA2 copB ECOK12F006', 'finO']","['tetR', 'repA2', 'argR', 'repA2', 'finO']",5,"['GHFPKOBN_00006', 'GHFPKOBN_00011', 'GHFPKOBN_00021', 'GHFPKOBN_00025', 'GHFPKOBN_00041', 'GHFPKOBN_00047', 'GHFPKOBN_00053', 'GHFPKOBN_00069', 'GHFPKOBN_00083']",9
NZ_CP032516.1,90329,"['TETRACYCLINE', 'MACROLIDE', 'SULFONAMIDE', 'STREPTOMYCIN', 'TRIMETHOPRIM']","['tet(A)', 'mph(A)', 'sul1', 'aadA5', 'dfrA17']",5,"['Biofilm growth-associated repressor', 'Virulence regulon transcriptional activator VirB (Cell invasion regulator InvE)', 'Tetracycline repressor protein class A from transposon 1721', 'HTH-type transcriptional regulator MerD (Mercuric resistance protein MerD)', 'Mercuric resistance operon regulatory protein', 'Uncharacterized HTH-type transcriptional regulator YfiR', 'Transcriptional regulator Rv3488']","['bigR XF_0767', 'virB invE', 'tetR', 'merD', 'merR', 'yfiR BSU08370', 'Rv3488']","['bigR', 'virB', 'tetR', 'merD', 'merR', 'yfiR', 'Rv3488']",7,"['OPMNFAIM_00005', 'OPMNFAIM_00006', 'OPMNFAIM_00011', 'OPMNFAIM_00016', 'OPMNFAIM_00018', 'OPMNFAIM_00020', 'OPMNFAIM_00030', 'OPMNFAIM_00032', 'OPMNFAIM_00053', 'OPMNFAIM_00059', 'OPMNFAIM_00062', 'OPMNFAIM_00065', 'OPMNFAIM_00070', 'OPMNFAIM_00078', 'OPMNFAIM_00097', 'OPMNFAIM_00104']",16
NZ_CP032517.1,4725,['None'],['None'],0,['None'],['None'],['None'],0,[],0
NZ_CP032790.1,93285,['None'],['None'],0,"['HTH-type transcriptional regulator PapX', 'Fertility inhibition protein (Conjugal transfer repressor)', 'Replication regulatory protein repA2 (Protein CopB)']","['papX', 'finO L7001 ECO57PM64', 'repA2 copB L7006 ECO57PM67']","['papX', 'finO', 'repA2']",3,"['KHBGJEJK_00010', 'KHBGJEJK_00037', 'KHBGJEJK_00055', 'KHBGJEJK_00079']",4
NZ_CP032792.1,90311,['None'],['None'],0,"['HTH-type transcriptional regulator PapX', 'Fertility inhibition protein (Conjugal transfer repressor)', 'Replication regulatory protein repA2 (Protein CopB)']","['papX', 'finO L7001 ECO57PM64', 'repA2 copB L7006 ECO57PM67']","['papX', 'finO', 'repA2']",3,"['HIHEMEGL_00010', 'HIHEMEGL_00037', 'HIHEMEGL_00048', 'HIHEMEGL_00064', 'HIHEMEGL_00069', 'HIHEMEGL_00073']",6
NZ_CP032875.1,92539,['None'],['None'],0,"['Uncharacterized HTH-type transcriptional regulator YbaQ', 'LexA repressor (EC 3.4.21.88)']","['ybaQ b0483 JW0472', 'lexA Bpro_2954']","['ybaQ', 'lexA']",2,"['KDPDFPLF_00037', 'KDPDFPLF_00041', 'KDPDFPLF_00047', 'KDPDFPLF_00052', 'KDPDFPLF_00053', 'KDPDFPLF_00089', 'KDPDFPLF_00108', 'KDPDFPLF_00110']",8
NZ_CP032877.1,150854,"['AMIKACIN;KANAMYCIN;TOBRAMYCIN', 'CEPHALOSPORIN', 'GENTAMICIN', 'CEPHALOSPORIN', 'TRIMETHOPRIM', 'STREPTOMYCIN', 'SULFONAMIDE', 'MACROLIDE', 'TETRACYCLINE']","[""aac(6')-Ib-D181Y"", 'blaOXA-1', 'aac(3)-IIe', 'blaCTX-M-15', 'dfrA17', 'aadA5', 'sul1', 'mph(A)', 'tet(B)']",9,"['Fertility inhibition protein (Conjugal transfer repressor)', 'Replication regulatory protein RepA2 (Protein CopB)', 'Arginine repressor', 'Replication regulatory protein repA2 (Protein CopB)', 'Uncharacterized HTH-type transcriptional regulator YfiR', 'Tetracycline repressor protein class B from transposon Tn10', 'Uncharacterized HTH-type transcriptional regulator YdfF', 'HTH-type transcriptional repressor NemR (Bleach-sensing transcription factor) (Redox-regulated transcription factor NemR)']","['finO', 'repA2 copB ECOK12F006', 'argR VP0324', 'repA2 copB', 'yfiR BSU08370', 'tetR', 'ydfF BSU05390', 'nemR ydhM b1649 JW5874']","['finO', 'repA2', 'argR', 'repA2', 'yfiR', 'tetR', 'ydfF', 'nemR']",8,"['HFCLCNMI_00013', 'HFCLCNMI_00047', 'HFCLCNMI_00053', 'HFCLCNMI_00059', 'HFCLCNMI_00073', 'HFCLCNMI_00083', 'HFCLCNMI_00112', 'HFCLCNMI_00126', 'HFCLCNMI_00127', 'HFCLCNMI_00138', 'HFCLCNMI_00142', 'HFCLCNMI_00147', 'HFCLCNMI_00160']",13
NZ_CP032878.1,45485,"['BLEOMYCIN', 'CARBAPENEM']","['ble-MBL', 'blaNDM-4']",2,['None'],['None'],['None'],0,"['FCEDGFAL_00028', 'FCEDGFAL_00029', 'FCEDGFAL_00040', 'FCEDGFAL_00042']",4
NZ_CP032880.1,82676,['None'],['None'],0,['HTH-type transcriptional regulator YdeO'],['Z2209 ECs2104'],['Z2209'],1,"['KEGAMGLB_00001', 'KEGAMGLB_00006', 'KEGAMGLB_00011', 'KEGAMGLB_00028', 'KEGAMGLB_00032']",5
NZ_CP032881.1,8900,['None'],['None'],0,['None'],['None'],['None'],0,[],0
NZ_CP032882.1,6549,['None'],['None'],0,['None'],['None'],['None'],0,[],0
NZ_CP032883.1,5794,['None'],['None'],0,['None'],['None'],['None'],0,[],0
NZ_CP032884.1,4659,['None'],['None'],0,['None'],['None'],['None'],0,[],0
NZ_CP032885.1,4235,['None'],['None'],0,['None'],['None'],['None'],0,['LIKKGFOB_00003'],1
NZ_CP032886.1,2791,['None'],['None'],0,['None'],['None'],['None'],0,[],0
NZ_CP032887.1,1903,['None'],['None'],0,['None'],['None'],['None'],0,['EOFIKINJ_00002'],1
NZ_CP032888.1,109554,"['CHLORAMPHENICOL;FLORFENICOL', 'AMIKACIN;KANAMYCIN;TOBRAMYCIN', 'RIFAMYCIN', 'TRIMETHOPRIM', 'STREPTOMYCIN', 'SULFONAMIDE', 'CEPHALOSPORIN']","['floR', ""aac(6')-Ib-D181Y"", 'arr-3', 'dfrA27', 'aadA16', 'sul1', 'blaCTX-M-9']",7,"['Transcriptional repressor protein KorC', 'Carbapenem-hydrolyzing beta-lactamase transcriptional activator', 'Cryptic phage CTXphi transcriptional repressor RstR', 'Response regulator UvrY']","['korC', 'nmcR', 'rstR1 VC_1455; rstR2 VC_1464', 'uvrY SF1957 S2053']","['korC', 'nmcR', 'rstR1', 'uvrY']",4,"['HOBACOCK_00009', 'HOBACOCK_00012', 'HOBACOCK_00014', 'HOBACOCK_00028', 'HOBACOCK_00031', 'HOBACOCK_00041', 'HOBACOCK_00055', 'HOBACOCK_00058']",8
NZ_CP032889.1,46162,"['BLEOMYCIN', 'CARBAPENEM']","['ble-MBL', 'blaNDM-5']",2,['None'],['None'],['None'],0,"['CNAMOAFF_00016', 'CNAMOAFF_00026']",2
NZ_CP032890.1,91015,"['CHLORAMPHENICOL;FLORFENICOL', 'TETRACYCLINE', 'STREPTOMYCIN', 'STREPTOMYCIN', 'SULFONAMIDE', 'FOSFOMYCIN']","['floR', 'tet(A)', 'aph(6)-Id', ""aph(3'')-Ib"", 'sul2', 'fosA3']",6,"['Virulence regulon transcriptional activator VirB (Cell invasion regulator InvE)', 'Antirepressor protein 1 (ant1) (Repressor bypass protein B) (rebB) [Cleaved into: Antirepressor protein 2 (ant2) (Repressor bypass protein A) (rebA)]', 'HTH-type transcriptional regulator GbdR (Glycine betaine/dimethylglycine responsive regulator)', 'Carbapenem-hydrolyzing beta-lactamase transcriptional activator', 'Tetracycline repressor protein class A from transposon 1721', 'Response regulator protein GraR (Glycopeptide resistance-associated protein R)', 'Energy-dependent translational throttle protein EttA (EC 3.6.1.-) (Translational regulatory factor EttA)', 'Tetrathionate response regulatory protein TtrR', 'HTH-type transcriptional regulator ZntR homolog']","['virB invE', 'ant reb', 'gbdR PA5380', 'nmcR', 'tetR', 'graR SAR0669', 'ettA SF4423 S4694', 'ttrR STM1387', 'zntR HI_1623']","['virB', 'ant', 'gbdR', 'nmcR', 'tetR', 'graR', 'ettA', 'ttrR', 'zntR']",9,"['CFJKDLNI_00017', 'CFJKDLNI_00040', 'CFJKDLNI_00061', 'CFJKDLNI_00062', 'CFJKDLNI_00067', 'CFJKDLNI_00070', 'CFJKDLNI_00076', 'CFJKDLNI_00099', 'CFJKDLNI_00101']",9
NZ_CP032891.1,67352,['None'],['None'],0,"['Replication regulatory protein RepA2 (Protein CopB)', 'Fertility inhibition protein (Conjugal transfer repressor)']","['repA2 copB ECOK12F006', 'finO']","['repA2', 'finO']",2,"['DIFPDAFF_00015', 'DIFPDAFF_00017', 'DIFPDAFF_00018', 'DIFPDAFF_00021', 'DIFPDAFF_00056']",5
NZ_CP033397.1,4098,['None'],['None'],0,['None'],['None'],['None'],0,['IKGMALPI_00004'],1
NZ_CP033398.1,2089,['None'],['None'],0,['None'],['None'],['None'],0,[],0
NZ_CP033400.1,91653,"['TETRACYCLINE', 'SULFONAMIDE', 'STREPTOMYCIN', 'TRIMETHOPRIM', 'MACROLIDE', 'GENTAMICIN', 'BETA-LACTAM', 'STREPTOMYCIN', 'STREPTOMYCIN', 'SULFONAMIDE', 'BETA-LACTAM', 'CEPHALOSPORIN', 'AMIKACIN;KANAMYCIN;TOBRAMYCIN']","['tet(B)', 'sul1', 'aadA5', 'dfrA17', 'mph(A)', 'aac(3)-IId', 'blaTEM-1', 'aph(6)-Id', ""aph(3'')-Ib"", 'sul2', 'blaTEM-1', 'blaOXA-1', ""aac(6')-Ib-D181Y""]",13,"['Tetracycline repressor protein class B from transposon Tn10', 'Uncharacterized HTH-type transcriptional regulator YfiR', 'Replication regulatory protein repA2 (Protein CopB)', 'Fertility inhibition protein (Conjugal transfer repressor)', 'Transcriptional repressor protein KorC']","['tetR', 'yfiR BSU08370', 'repA2 copB', 'finO', 'korC']","['tetR', 'yfiR', 'repA2', 'finO', 'korC']",5,"['KKBDLNHC_00012', 'KKBDLNHC_00051', 'KKBDLNHC_00062', 'KKBDLNHC_00078', 'KKBDLNHC_00085']",5
NZ_CP033761.1,111939,"['STREPTOMYCIN', 'STREPTOMYCIN', 'SULFONAMIDE', 'BETA-LACTAM', 'TETRACYCLINE']","['aph(6)-Id', ""aph(3'')-Ib"", 'sul2', 'blaTEM-1', 'tet(B)']",5,"['Uncharacterized HTH-type transcriptional regulator RhmR', 'Uncharacterized HTH-type transcriptional regulator YdfF', 'Tetracycline repressor protein class B from transposon Tn10', 'Replication regulatory protein repA2 (Protein CopB)', 'Fertility inhibition protein (Conjugal transfer repressor)']","['rhmR yfaX b2248 JW2242', 'ydfF BSU05390', 'tetR', 'repA2 copB', 'finO']","['rhmR', 'ydfF', 'tetR', 'repA2', 'finO']",5,"['PIMDFHJP_00028', 'PIMDFHJP_00051', 'PIMDFHJP_00074', 'PIMDFHJP_00097', 'PIMDFHJP_00098', 'PIMDFHJP_00101', 'PIMDFHJP_00105', 'PIMDFHJP_00121']",8
NZ_CP033763.1,3273,['None'],['None'],0,['None'],['None'],['None'],0,[],0
NZ_CP033764.1,5431,['None'],['None'],0,['None'],['None'],['None'],0,[],0
NZ_CP033765.1,4075,['None'],['None'],0,['None'],['None'],['None'],0,[],0
NZ_CP033766.1,2102,['None'],['None'],0,['None'],['None'],['None'],0,[],0
NZ_CP033847.1,143866,['MACROLIDE'],['erm(B)'],1,"['Fertility inhibition protein (Conjugal transfer repressor)', 'Replication regulatory protein RepA2 (Protein CopB)', 'Arginine repressor', 'Replication regulatory protein repA2 (Protein CopB)', 'Uncharacterized HTH-type transcriptional regulator RhmR', 'Transcriptional repressor protein KorC', 'HTH-type transcriptional regulator RafR (Raffinose operon repressor)']","['finO', 'repA2 copB ECOK12F006', 'argR VP0324', 'repA2 copB', 'rhmR yfaX b2248 JW2242', 'korC', 'rafR']","['finO', 'repA2', 'argR', 'repA2', 'rhmR', 'korC', 'rafR']",7,"['IBPLPICH_00043', 'IBPLPICH_00050', 'IBPLPICH_00058', 'IBPLPICH_00086', 'IBPLPICH_00120', 'IBPLPICH_00129', 'IBPLPICH_00148', 'IBPLPICH_00149', 'IBPLPICH_00151']",9
NZ_CP033848.1,97019,['None'],['None'],0,['Antirepressor protein 1 (ant1) (Repressor bypass protein B) (rebB) [Cleaved into: Antirepressor protein 2 (ant2) (Repressor bypass protein A) (rebA)]'],['ant reb'],['ant'],1,"['GPEOMMKL_00089', 'GPEOMMKL_00091', 'GPEOMMKL_00092', 'GPEOMMKL_00100']",4
NZ_CP033849.1,32102,['None'],['None'],0,['None'],['None'],['None'],0,['LMCIIGNL_00026'],1
NZ_CP033851.1,4083,['None'],['None'],0,['None'],['None'],['None'],0,[],0
NZ_CP033852.1,1460,['None'],['None'],0,['None'],['None'],['None'],0,['GLCGPAFB_00001'],1
NZ_CP033853.1,3258,['None'],['None'],0,['None'],['None'],['None'],0,['MLGGOAFL_00002'],1
NZ_CP033879.1,31883,['None'],['None'],0,['None'],['None'],['None'],0,"['HEIJIPDJ_00006', 'HEIJIPDJ_00038']",2
NZ_CP033880.1,65500,['CARBAPENEM'],['blaOXA-48'],1,"['Transcriptional repressor protein KorC', 'Cryptic phage CTXphi transcriptional repressor RstR', 'Uncharacterized HTH-type transcriptional regulator HI_1364 (ORF2)', 'Replication regulatory protein repA2 (Protein CopB)']","['korC', 'rstR1 VC_1455; rstR2 VC_1464', 'HI_1364', 'repA2 copB L7006 ECO57PM67']","['korC', 'rstR1', 'HI_1364', 'repA2']",4,"['LPLGELFP_00025', 'LPLGELFP_00039', 'LPLGELFP_00046', 'LPLGELFP_00057', 'LPLGELFP_00068']",5
NZ_CP033881.1,61891,['None'],['None'],0,"['Replication regulatory protein repA2 (Protein CopB)', 'Fertility inhibition protein (Conjugal transfer repressor)']","['repA2 copB L7006 ECO57PM67', 'finO']","['repA2', 'finO']",2,"['LCJMOCCJ_00023', 'LCJMOCCJ_00041', 'LCJMOCCJ_00043']",3
